CREATED_DAY_OF_WEEK,CREATED_YEAR,COUNT
Sunday,2018,28.918
Monday,2018,84.809
Tuesday,2018,84.888
Wednesday,2018,80.42
Thursday,2018,78.572
Friday,2018,69.579
Saturday,2018,29.656
Sunday,2019,119.181
Monday,2019,181.091
Tuesday,2019,171.78
Wednesday,2019,164.941
Thursday,2019,162.178
Friday,2019,156.739
Saturday,2019,110.839
