OWNER_DEPARTMENT,CREATED_YEAR,COUNT
Streets and Sanitation,2018,240.046
Transportation,2018,128.437
Water Management,2018,23.557
Buildings,2018,18.499
Animal Care / Control,2018,17.958
311 City Services,2018,17.812
Business Affairs,2018,6.026
311 City Services,2019,348.179
Streets and Sanitation,2019,252.26
Transportation,2019,151.071
Water Management,2019,24.976
Animal Care / Control,2019,19.242
Buildings,2019,18.044
Business Affairs,2019,6.263
