namelsad10,Number_of_Requests,Household_Income,color
Census Tract 7403,2604,9433,#985356
Census Tract 7404,2379,9792,#985356
Census Tract 7501,3131,7839,#c85a5a
Census Tract 7502,2415,22723,#574249
Census Tract 7503,1293,13272,#627f8c
Census Tract 7504,1809,11822,#ad9ea5
Census Tract 7505,4737,11587,#985356
Census Tract 7506,3655,13775,#574249
Census Tract 7608.01,588,7668,#e8e8e8
Census Tract 7608.02,1108,8220,#b0d5df
Census Tract 7608.03,1130,5328,#e8e8e8
Census Tract 7706.02,4,9008,#b0d5df
Census Tract 7709.02,40,7378,#e8e8e8
Census Tract 801,856,36333,#64acbe
Census Tract 802.01,408,14277,#64acbe
Census Tract 802.02,710,39431,#64acbe
Census Tract 803,1415,33314,#627f8c
Census Tract 804,1279,18335,#627f8c
Census Tract 810,1119,11335,#b0d5df
Census Tract 8104,170,12535,#64acbe
Census Tract 811,717,12679,#64acbe
Census Tract 812.01,1065,38212,#64acbe
Census Tract 812.02,813,28327,#64acbe
Census Tract 813,673,16213,#64acbe
Census Tract 814.01,900,30097,#64acbe
Census Tract 814.02,587,26050,#64acbe
Census Tract 814.03,1131,22435,#64acbe
Census Tract 815,1478,26584,#627f8c
Census Tract 816,678,26543,#64acbe
Census Tract 817,1366,17084,#627f8c
Census Tract 818,2259,20573,#574249
Census Tract 819,193,44035,#64acbe
Census Tract 8214.02,48,8248,#b0d5df
Census Tract 8233.04,38,10553,#b0d5df
Census Tract 8305,3064,7414,#c85a5a
Census Tract 8306,1756,11470,#ad9ea5
Census Tract 8307,1885,8842,#ad9ea5
Census Tract 8308,1034,9434,#b0d5df
Census Tract 8309,2473,15080,#574249
Census Tract 8310,1468,28032,#627f8c
Census Tract 8311,4004,10813,#985356
Census Tract 8312,1924,15747,#627f8c
Census Tract 8313,792,7844,#e8e8e8
Census Tract 8314,2401,5753,#c85a5a
Census Tract 8315,1856,7330,#e4acac
Census Tract 8316,3188,22210,#574249
Census Tract 8317,1165,8576,#b0d5df
Census Tract 8318,3516,8300,#985356
Census Tract 8319,1825,23267,#627f8c
Census Tract 8320,898,13599,#64acbe
Census Tract 8321,905,12483,#b0d5df
Census Tract 8322,1701,22470,#627f8c
Census Tract 8323,2090,21824,#574249
Census Tract 8324,1966,14667,#574249
Census Tract 8325,1841,29035,#627f8c
Census Tract 8326,2374,23002,#574249
Census Tract 8329,811,23128,#64acbe
Census Tract 8330,2865,30279,#574249
Census Tract 8331,2516,18273,#574249
Census Tract 8333,1138,17299,#64acbe
Census Tract 8339,1998,20387,#574249
Census Tract 8340,2123,8253,#985356
Census Tract 8342,3297,29200,#574249
Census Tract 8343,4937,6733,#c85a5a
Census Tract 8344,1847,11975,#ad9ea5
Census Tract 8345,1352,7527,#e4acac
Census Tract 8346,3255,17215,#574249
Census Tract 8347,2328,20134,#574249
Census Tract 8348,2208,7054,#c85a5a
Census Tract 8349,1732,4369,#e4acac
Census Tract 8350,3068,10782,#985356
Census Tract 8351,2724,8790,#985356
Census Tract 8352,1216,10448,#ad9ea5
Census Tract 8355,1656,5891,#e4acac
Census Tract 8356,2071,5908,#c85a5a
Census Tract 8357,161,19320,#64acbe
Census Tract 8358,1005,12600,#64acbe
Census Tract 8359,1828,7921,#e4acac
Census Tract 8360,1824,15346,#627f8c
Census Tract 8361,1724,7805,#e4acac
Census Tract 8362,562,69381,#64acbe
Census Tract 8363,395,14128,#64acbe
Census Tract 8364,1511,9575,#ad9ea5
Census Tract 8365,785,12033,#b0d5df
Census Tract 8366,1851,13416,#627f8c
Census Tract 8367,2261,31651,#574249
Census Tract 8368,2093,4668,#c85a5a
Census Tract 8369,725,6761,#e8e8e8
Census Tract 8370,2324,6428,#c85a5a
Census Tract 8371,1969,6773,#c85a5a
Census Tract 8373,1557,6311,#e4acac
Census Tract 8374,2025,10896,#985356
Census Tract 8378,3032,15052,#574249
Census Tract 8380,1674,9565,#ad9ea5
Census Tract 8381,1430,6789,#e4acac
Census Tract 8382,610687,17817,#574249
Census Tract 8383,532,17659,#64acbe
Census Tract 8386,1460,4803,#e4acac
Census Tract 8387,3379,4256,#c85a5a
Census Tract 8388,2637,11039,#985356
Census Tract 8390,1433,13518,#627f8c
Census Tract 8391,6573,22076,#574249
Census Tract 8392,719,12061,#b0d5df
Census Tract 8395,720,16515,#64acbe
Census Tract 8396,901,11172,#b0d5df
Census Tract 8397,1940,9686,#ad9ea5
Census Tract 8398,938,9419,#b0d5df
Census Tract 8399,2272,8442,#985356
Census Tract 8400,1263,12577,#627f8c
Census Tract 8401,943,8291,#b0d5df
Census Tract 8402,1700,8765,#ad9ea5
Census Tract 8403,3328,10668,#985356
Census Tract 8404,3271,11187,#985356
Census Tract 8407,2974,6586,#c85a5a
Census Tract 8408,1195,11487,#ad9ea5
Census Tract 8410,1062,13624,#64acbe
Census Tract 8411,2822,6618,#c85a5a
Census Tract 8412,3086,6022,#c85a5a
Census Tract 8413,2722,9270,#985356
Census Tract 8414,1194,9312,#ad9ea5
Census Tract 8415,2788,7569,#c85a5a
Census Tract 8416,1224,7975,#e4acac
Census Tract 8417,1275,5304,#e4acac
Census Tract 8418,2272,5394,#c85a5a
Census Tract 8419,2946,10754,#985356
Census Tract 8420,701,26569,#64acbe
Census Tract 8421,3225,6751,#c85a5a
Census Tract 8422,2185,13340,#574249
Census Tract 8423,3454,25360,#574249
Census Tract 8424,3557,5457,#c85a5a
Census Tract 8425,980,5597,#e8e8e8
Census Tract 8426,3254,6635,#c85a5a
Census Tract 8428,3631,4904,#c85a5a
Census Tract 8429,2729,9258,#985356
Census Tract 8430,2966,6435,#c85a5a
Census Tract 8431,2089,12747,#574249
Census Tract 8432,3100,6979,#c85a5a
Census Tract 8433,820,11071,#b0d5df
Census Tract 8434,1324,6133,#e4acac
Census Tract 8435,1385,7828,#e4acac
Census Tract 8436,2065,20301,#574249
Census Tract 8437,3393,33117,#574249
Census Tract 8438,2215,7145,#c85a5a
Census Tract 8439,2177,5744,#c85a5a
Census Tract 901,1776,16964,#627f8c
Census Tract 902,3189,17667,#574249
Census Tract 903,3549,14871,#574249
