namelsad10,Number_of_Requests,Household_Income,color
Census Tract 2229,514,9690,#b0d5df
Census Tract 2301,686,11228,#b0d5df
Census Tract 2302,818,11559,#b0d5df
Census Tract 2303,333,9739,#b0d5df
Census Tract 2304,1034,9475,#b0d5df
Census Tract 2305,1333,5773,#e4acac
Census Tract 2306,2724,5864,#c85a5a
Census Tract 2307,2854,6196,#c85a5a
Census Tract 2308,519,14782,#64acbe
Census Tract 2309,1903,8664,#ad9ea5
Census Tract 2311,714,17603,#64acbe
Census Tract 2312,3735,6628,#c85a5a
Census Tract 2315,5665,8036,#c85a5a
Census Tract 2402,687,25773,#64acbe
Census Tract 2403,1067,33078,#64acbe
Census Tract 2405,1351,23620,#627f8c
Census Tract 2406,705,23051,#64acbe
Census Tract 2407,575,16262,#64acbe
Census Tract 2408,740,9198,#b0d5df
Census Tract 2409,1167,11399,#ad9ea5
Census Tract 2410,787,17758,#64acbe
Census Tract 2411,1805,11408,#ad9ea5
Census Tract 2412,957,20311,#64acbe
Census Tract 2413,625,29548,#64acbe
Census Tract 2414,3476,21732,#574249
Census Tract 2415,2314,22031,#574249
Census Tract 2416,1437,11423,#ad9ea5
Census Tract 2420,1819,12855,#627f8c
Census Tract 2421,1547,16762,#627f8c
Census Tract 2422,1471,20818,#627f8c
Census Tract 2423,1375,15382,#627f8c
Census Tract 2424,1446,12995,#627f8c
Census Tract 2425,1385,11248,#ad9ea5
Census Tract 2426,2154,13575,#574249
Census Tract 2427,695,8830,#b0d5df
Census Tract 2428,1005,19909,#64acbe
Census Tract 2429,1281,16240,#627f8c
Census Tract 2430,1301,15207,#627f8c
Census Tract 2431,1308,23250,#627f8c
Census Tract 2432,1278,19533,#627f8c
Census Tract 2433,1248,15510,#627f8c
Census Tract 2434,1725,11343,#ad9ea5
Census Tract 2435,2038,12743,#574249
Census Tract 2502,1384,11664,#ad9ea5
Census Tract 2503,2018,7397,#c85a5a
Census Tract 2504,2610,9269,#985356
Census Tract 2505,3680,12059,#985356
Census Tract 2506,1968,10127,#985356
Census Tract 2507,2623,6641,#c85a5a
Census Tract 2508,1307,9265,#ad9ea5
Census Tract 2510,816,7212,#e8e8e8
Census Tract 2511,1838,5674,#e4acac
Census Tract 2512,2732,11441,#985356
Census Tract 2513,2241,6942,#c85a5a
Census Tract 2514,1766,4982,#e4acac
Census Tract 2515,2256,14617,#574249
Census Tract 2516,2237,16500,#574249
Census Tract 2517,1373,8104,#e4acac
Census Tract 2518,3001,5085,#c85a5a
Census Tract 2519,2563,5334,#c85a5a
Census Tract 2520,2133,8011,#c85a5a
Census Tract 2521.01,706,33494,#64acbe
Census Tract 2521.02,2179,7868,#c85a5a
Census Tract 2522.01,1194,14523,#627f8c
Census Tract 2522.02,2509,6482,#c85a5a
Census Tract 2601,1358,7488,#e4acac
Census Tract 2602,1302,8403,#ad9ea5
Census Tract 2603,1086,7747,#e8e8e8
Census Tract 2604,1072,9301,#b0d5df
Census Tract 2605,1459,10090,#ad9ea5
Census Tract 2606,1615,8224,#ad9ea5
Census Tract 2607,1794,9591,#ad9ea5
Census Tract 2608,1636,13529,#627f8c
Census Tract 2609,907,8675,#b0d5df
Census Tract 2610,2084,6772,#c85a5a
Census Tract 2705,797,4796,#e8e8e8
Census Tract 2712,1640,8364,#ad9ea5
Census Tract 2713,741,36509,#64acbe
Census Tract 2714,790,8489,#b0d5df
Census Tract 2715,573,7276,#e8e8e8
Census Tract 2718,821,10829,#b0d5df
Census Tract 2801,3314,22055,#574249
Census Tract 2804,760,22200,#64acbe
Census Tract 2808,629,9415,#b0d5df
Census Tract 2809,514,10638,#b0d5df
Census Tract 2819,1266,15091,#627f8c
Census Tract 2827,1447,16308,#627f8c
Census Tract 2828,828,34881,#64acbe
Census Tract 2831,906,13995,#64acbe
Census Tract 2832,539,15743,#64acbe
Census Tract 2838,532,9449,#b0d5df
Census Tract 2909,4154,5958,#c85a5a
Census Tract 2912,1662,7505,#e4acac
Census Tract 2916,426,11993,#b0d5df
Census Tract 2922,2670,9160,#985356
Census Tract 2924,1511,10672,#ad9ea5
Census Tract 2925,2273,6251,#c85a5a
Census Tract 3005,1084,4395,#e8e8e8
Census Tract 3006,1672,7110,#e4acac
Census Tract 3007,1745,6471,#e4acac
Census Tract 3008,1595,3919,#e4acac
Census Tract 3009,1687,5378,#e4acac
Census Tract 301.01,570,7960,#e8e8e8
Census Tract 301.02,572,16175,#64acbe
Census Tract 301.03,312,9933,#b0d5df
Census Tract 301.04,239,10258,#b0d5df
Census Tract 3011,985,7686,#e8e8e8
Census Tract 3012,1975,9369,#985356
Census Tract 3016,1459,6635,#e4acac
Census Tract 3017.01,1507,7521,#e4acac
Census Tract 3017.02,1597,6682,#e4acac
Census Tract 3018.01,1633,8728,#ad9ea5
Census Tract 3018.02,1937,5469,#e4acac
Census Tract 3018.03,1744,5558,#e4acac
Census Tract 302,2965,12291,#985356
Census Tract 303,1505,9308,#ad9ea5
Census Tract 304,1263,14098,#627f8c
Census Tract 305,2603,10223,#985356
Census Tract 306.01,771,7229,#e8e8e8
Census Tract 306.03,623,9847,#b0d5df
Census Tract 306.04,632,13094,#64acbe
Census Tract 307.01,313,7336,#e8e8e8
Census Tract 307.02,41,15873,#64acbe
Census Tract 307.03,757,14499,#64acbe
Census Tract 307.06,671,11549,#b0d5df
Census Tract 308,2240,26956,#574249
Census Tract 309,1517,13427,#627f8c
Census Tract 310,1367,11953,#ad9ea5
Census Tract 3102,1030,11225,#b0d5df
Census Tract 3103,1303,11991,#ad9ea5
Census Tract 3104,603,17006,#64acbe
Census Tract 3105,810,11477,#b0d5df
Census Tract 3106,3495,8471,#985356
Census Tract 3107,1088,7832,#e8e8e8
Census Tract 3108,1933,12205,#ad9ea5
Census Tract 3109,2243,8264,#985356
Census Tract 311,1663,9994,#ad9ea5
Census Tract 312,1451,9371,#ad9ea5
Census Tract 313,1142,5840,#e8e8e8
Census Tract 314,1309,11244,#ad9ea5
Census Tract 315.01,419,5444,#e8e8e8
Census Tract 315.02,523,7310,#e8e8e8
Census Tract 317,1720,9907,#ad9ea5
Census Tract 318,779,13632,#64acbe
Census Tract 319,871,14621,#64acbe
Census Tract 3201,3730,24228,#574249
Census Tract 3204,1816,45978,#627f8c
Census Tract 3206,1377,15057,#627f8c
Census Tract 321,1586,13524,#627f8c
Census Tract 3301,3554,27503,#574249
Census Tract 3302,1351,24701,#627f8c
Census Tract 3403,478,10390,#b0d5df
Census Tract 3404,545,11347,#b0d5df
Census Tract 3405,466,5967,#e8e8e8
Census Tract 3406,258,7203,#e8e8e8
Census Tract 3501,295,8485,#b0d5df
Census Tract 3504,223,3498,#e8e8e8
Census Tract 3510,436,11890,#b0d5df
Census Tract 3511,164,4271,#e8e8e8
Census Tract 3514,816,13723,#64acbe
Census Tract 3515,232,13669,#64acbe
Census Tract 3602,300,4370,#e8e8e8
Census Tract 3801,1841,9016,#ad9ea5
Census Tract 3802,504,6798,#e8e8e8
Census Tract 3805,191,5094,#e8e8e8
Census Tract 3807,685,9946,#b0d5df
Census Tract 3812,996,31246,#64acbe
Census Tract 3814,1050,8200,#e8e8e8
Census Tract 3815,239,9908,#b0d5df
Census Tract 3818,1060,9277,#b0d5df
Census Tract 3819,743,11800,#b0d5df
Census Tract 3901,618,14404,#64acbe
Census Tract 3902,1015,26852,#64acbe
Census Tract 3903,939,9648,#b0d5df
Census Tract 3904,690,15381,#64acbe
Census Tract 3905,422,30833,#64acbe
Census Tract 3906,543,21683,#64acbe
Census Tract 3907,797,10939,#b0d5df
Census Tract 4003,1374,8583,#ad9ea5
Census Tract 4004,1153,6323,#e8e8e8
Census Tract 4005,990,5338,#e8e8e8
Census Tract 4008,1050,8307,#b0d5df
Census Tract 401,1736,11705,#ad9ea5
Census Tract 402.01,2649,8228,#985356
Census Tract 402.02,1670,14333,#627f8c
Census Tract 403,1477,23358,#627f8c
Census Tract 404.01,1687,18048,#627f8c
Census Tract 404.02,1348,16593,#627f8c
Census Tract 406,1584,25141,#627f8c
Census Tract 407,1897,12588,#627f8c
