CREATED_MONTH,CREATED_YEAR,COUNT,MONTH
7,2018,96.752,July
8,2018,89.687,August
9,2018,78.895,September
10,2018,73.762,October
11,2018,52.453,November
12,2018,65.293,December
7,2019,199.403,July
8,2019,207.463,August
9,2019,193.306,September
10,2019,178.25,October
11,2019,144.94,November
12,2019,143.387,December
